Category;Description;Examples
ACCESS PANELS;Panels providing access to concealed areas such as ducts, pipes, or electrical components;Hinged access doors, Removable ceiling panels, Inspection hatches, Access panels with locks, Drywall access panels, Plastic access doors, Fire-rated access panels, Metal access covers, Concealed access panels, Acoustic access panels
BOARD;Various types of boards used in construction;Gypsum boards, Particle boards, Fiber cement boards, Oriented strand boards, Plywood sheets, Chipboard panels, Hardboard sheets, MDF boards, Cement boards, Insulating foam boards
DEF HEADS & PLY PRECUTS;Prefabricated components or assemblies made from timber or plywood;Plywood sheets, Sheet metal roofing, Roof trusses, Prefabricated wall panels, Prefinished plywood, Wooden decking planks, Timber floor joists, Particle board, Melamine-coated MDF, Hardboard panels
DOT/DAB;Method of fixing plasterboard to walls using adhesive dots.;Adhesive dots, Drywall adhesive, Plasterboard fixings, Wall anchor plates, Wall anchors and screws, Insulation support fixings, Ceiling tile adhesives, Plasterboard corner protectors, Drywall joint tape, Wall stud adhesive strips
ELECTRICAL COMPONENTS;Various devices, fixtures, and equipment used in electrical systems within buildings or construction projects;Light switches, Electrical outlets, Circuit breakers, Wiring conduits, Junction boxes, Electrical cable connectors, Electrical wire nuts, Light dimmer switches, Electrical switch plates, Electrical wire staples
FINISHING;Materials for completing or enhancing the appearance of construction projects;Paints, Stains, Varnishes, Primers, Wood fillers, Caulking compounds, Sealants, Putty, Sandpaper, Brushes
FIRE STOPPING;Materials used to prevent the spread of fire through openings in walls, floors, and ceilings.;Fire-resistant sealant, Intumescent firestop pillows, Fire-rated duct wraps, Fire barrier mortar, Firestop collars, Fire retardant spray foam, Fire-resistant cable coating, Firestop putty pads, Fire-rated insulation, Firestop penetration wraps
FIXINGS AND FASTENERS;Hardware for securing materials together in construction;Screws, Nails, Bolts, Anchors, Rivets, Wall plugs, Threaded rods, Screw anchors, Dowels, Self-tapping screws
HEALTH AND SAFETY;Equipment and protocols to ensure worker safety on construction sites;Hard hats, Safety boots, High-visibility vests, Safety harnesses, Ear plugs, Safety gloves, Respirators, Safety goggles, First aid kits, Safety signs
INSULATION;Materials for thermal or acoustic insulation in buildings;Fiberglass batts, Foam board insulation, Reflective foil insulation, Spray foam insulation, Mineral wool insulation, Cellulose insulation, Radiant barrier insulation, Vapor barrier sheets, Soundproofing insulation, Thermal insulating jackets
