Cost Code,Description,Supplier/Subcontractor,Src,Tran Type,Internal Ref,External Ref,PO Number,Quantity,Unit
m231,Sympafix pin C70-65-HD for GT/C70 and GT4C (7,Etag UK,PL,PINV,21110105,214421,PO002344,10,BOX
m231,Sympafix pin C70-60 for GT/C70 and GT4C (700,Etag UK,PL,PINV,21110105,214421,PO002344,7,BOX
m231,Sympafix pin C70-40 for GT/C70 and GT4C (700,Etag UK,PL,PINV,21110105,214421,PO002344,2,BOX
m231,Sympafix pin C70-27-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,21110105,214421,PO002344,2,BOX
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,21110105,214421,PO002344,11,BOX
m231,Sympafix pin C70-50-HD for GT/C70 and GT4C (7,Etag UK,PL,PINV,21110105,214421,PO002344,4,BOX
M231,Sausage Combi Gun 600mm,Etag UK,PL,PINV,21110107,214433,PO002353,2,EA
M231,Polythene Fire Rated 25mtr x 4mtr,Etag UK,PL,PINV,21110107,214433,PO002353,1,EA
M231,Paint Line Marker Green,Etag UK,PL,PINV,21110171,214655,PO002385,30,EA
M231,Paint Line Marker Yellow,Etag UK,PL,PINV,21110171,214655,PO002385,20,EA
M231,Paint Line Marker Red,Etag UK,PL,PINV,21110171,214655,PO002385,20,EA
m231,Novia Butyl Tape 30mmx30m Double Sided,Etag UK,PL,PINV,21110173,214618,PO002336,10,EA
M231,Black Chalk Dust,Etag UK,PL,PINV,21110176,214796,PO002386,3,EA
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,21110247,215045,PO002420,200,EA
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,21110355,215242,PO002433,500,EA
M231,Drill Bit SDS Plus 5.5x160,Etag UK,PL,PINV,21110355,215242,PO002433,20,EA
M231,Drill Bit SDS Plus 6x110,Etag UK,PL,PINV,21110355,215242,PO002433,20,EA
M231,Makita 110V M-class Dust Extractor 42L c/w Po,Etag UK,PL,PINV,21110359,215237,PO002385,1,EA
m231,Etag,Etag UK,PL,PCRN,21110406,6938,,0,
M231,Padlock 63mm,Etag UK,PL,PINV,21110307,215628,PO002491,3,EA
